NÁZEV TÝMU;LOGO;ROK ZALOŽENÍ;POČET TITULŮ;HLAVNÍ TRENÉR;SEZONA KDY NASTOUPIL;DNÍ JAKO HL.TRENÉR;POSLEDNÍ TITUL;PRŮMĚRNÁ NÁVŠTĚVNOST;KAPACITA;% ZAPLNĚNOST;NÁZEV STADIONU;2024/25 ZČ;2024/25 PLAYOF;2023/24 ZČ;2023/24 PLAYOFF;2022/23 ZČ;2022/23 PLAYOFF;2021/22 ZČ;2021/22 PLAYOFF;2020/21 Z;2020/21 PLAYOF;;
CBU;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/CBU.png;1928;0;Ladislav Čihák;01.06.2023;963,00;-;6139;6421;95,61;Budvar Aréna;6;6;6;6;13;13;4;3;14;14;;
KLA;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/KLA.png;1924;0;Tomáš Plekanec;29.12.2025;21,00;-;3117;5200;59,94;ČEZ Stadion;13;13;14;14;14;14;14;14;-;-;;
KOM;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/KOM.png;1953;3;Jiří Horáček;05.01.2026;14,00;2024/25;6880;7700;89,35;Winning Group Aréna;4;1;4;5;7;6;10;11;9;7;;
KVA;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/KVA.png;1932;1;Pavel Patera;01.06.2024;597,00;2008/09;4442;5874;75,62;Mattoni Aréna;5;5;11;11;9;9;12;12;10;11;;
LIB;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/LIB.png;1950;1;Jiří Kudrna;01.06.2025;232,00;2015/16;5626;7500;75,01;Home Credit Aréna;11;11;7;7;5;4;7;7;4;2;;
LIT;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/LIT.png;1945;1;Jakup Petr;16.10.2025;95,00;2014/15;4106;5944;69,08;Zimní stadion Ivana Hlinky;7;9;5;4;11;11;13;13;11;12;;
MBL;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/MBL.png;1908;0;Miloš Hořava;26.10.2025;85,00;-;3091;4200;73,60;ŠKO-ENERGO Aréna;9;7;13;13;10;10;11;4;3;4;;
MHK;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/MHK.png;1926;0;Tomáš Martinec;01.06.2021;1693,00;-;4206;6890;61,04;ČPP Aréna;2;4;8;8;4;2;1;5;6;5;;
OLO;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/OLO.png;1950;1;Róbert Petrovický;01.06.2025;232,00;1993/94;4449;5500;80,89;Zimní stadion Olomouc;14;14;10;10;8;7;9;10;12;8;;
PCE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/PCE.png;1923;3;Filip Pešán;01.06.2025;232,00;2011/12;9515;10194;93,34;Enteria Aréna;3;2;1;2;1;3;5;6;7;6;;
PLZ;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/PLZ.png;1929;1;Josef Jandač;01.06.2024;597,00;2012/13;4870;7232;67,34;LOGSPEED CZ Aréna;8;10;12;12;12;12;6;9;5;9;;
SPA;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/SPA.png;1903;4;Jaroslav Nedvěd;08.10.2025;103,00;2006/07;12772;17360;73,57;O2 Arena;1;3;2;3;3;5;3;2;1;3;;
VIT;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/VIT.png;1928;0;Václav Varaďa;16.01.2025;368,00;-;5360;9833;54,51; Ostravar Aréna;12;12;9;9;2;4;8;8;8;10;;
TRI;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/loga_tymu/TRI.png;1929;6;Boris Žabka;27.12.2028;23,00;2023/24;4954;5400;91,74;WERK Aréna;10;8;3;1;6;1;2;1;2;1;;
