JMÉNO;PŘÍJMENÍ;ODKUD;KAM ;POZICE;SEZONA
Ondřej;Vála;Pardubice;České Budějovice;Obránce;2025/26
Michal;Bulíř;Liberec;České Budějovice;Útočník;2025/26
Robert;Lantoši;Liberec;České Budějovice;Útočník;2025/26
William;Reilly;České Budějovice;Shangai Dragons ;Obránce;2025/26
Jakub;Valský;České Budějovice;Tábor;Útočník;2025/26
Lukáš;Pech;České Budějovice;Tábor;Útočník;2025/26
Sebastián;Malát;České Budějovice;Karlovy Vary;Útočník;2025/26
Milan;Gulaš;České Budějovice;Konec kariéry;Útočník;2025/26
;;;;;2025/26
Marcel;Marcel;Rockford IceHogs;Kladno;Útočník;2025/26
Wyatte;Wylie;Laval Rocket;Kladno;Obránce;2025/26
Dušan;Žovinec;Litoměřice;Kladno;Obránce;2025/26
Oscar;Dansk;Anaheim Ducks;Kladno;Brankář;2025/26
Tristen;Robins;Belleville Senators;Kladno;Útočník;2025/26
Niko;Ojamaki;Kloten;Kladno;Útočník;2025/26
Samuel ;Vigneault;MoDo Hockey;Kladno;Útočník;2025/26
Miroslav;Forman;Sparta;Kladno;Útočník;2025/26
Jakub;Konečný;Brno;Kladno;Útočník;2025/26
Martin ;Jandus;Třinec;Kladno;Obránce;2025/26
Jan;Piskáček;Plzeň;Kladno;Obránce;2025/26
Kelly;Klíma;Liberec;Kladno;Útočník;2025/26
Jéremie ;Blain;Hradec Králové;Kladno;Obránce;2025/26
Marcel;Barinka;Vítkovice;Kladno;Útočník;2025/26
Martin ;Matějíček;Peterborough Petes;Kladno;Obránce;2025/26
Tomáš;Tomek;Sparta;Kladno;Obránce;2025/26
Oskar;Lisler;Linkoping HC J20;Kladno;Útočník;2025/26
Adam;Bareš;Pelicans;Kladno;Útočník;2025/26
Markuss;Komuls;Kladno;HIFK;Obránce;2025/26
Richard;Jarůšek;Kladno;Glasgow Clan;Útočník;2025/26
Denis;Kusý;Kladno;Hradec Králové;Útočník;2025/26
Petr;Šenkeřík;Kladno;Hradec Králové;Obránce;2025/26
Petr;Straka;Kladno;Vsetín;Útočník;2025/26
Martin ;Němčík;Kladno;Poprad;Obránce;2025/26
Matyáš;FIlip;Kladno;Plzeň;Útočník;2025/26
Tomáš;Hanousek;Kladno;Zlín;Obránce;2025/26
Mitch;Hults;Kladno;Vienna Capitals;Útočník;2025/26
Jiří;Ticháček;Kladno;Karpat;Obránce;2025/26
Jaromír;Pytlík;Kladno;Liberec;Útočník;2025/26
Eduards;Tralmaks;Kladno;Detroit Red Wings;Útočník;2025/26
Radek;Smoleňák;Kladno;neznámo;Útočník;2025/26
;;;;;2025/26
Artuu;Illomaki;Karlovy Vary;Brno;Útočník;2025/26
Tomáš;Zohorna;České Budějovice;Brno;Útočník;2025/26
Filip;Král;Wilkes-Barre/Scranton Penguins;Brno;Obránce;2025/26
Aleš;Stezka;Coachella Valley Firebirds;Brno;Brankář;2025/26
Brendan;O'Donnell;Dusseldorfer EG;Brno;Útočník;2025/26
Tomáš;Dujsík;Brno;Vsetín;Obránce;2025/26
Jakub;Konečný;Brno;Kladno;Útočník;2025/26
Nicolas;Beaudin;Brno;Straubing Tigers;Obránce;2025/26
Michal;Postava;Brno;Detroit Red Wings;Brankář;2025/26
Peter;Mueller;Brno;Konec kariéry;Útočník;2025/26
Tomáš;Rachůnek;Brno;Jihlava;Útočník;2025/26
Brendan;O'Donnell;Brno;Adler Manheim;Útočník;2025/26
;;;;;2025/26
Jan;Bambula;Vítkovice;Karlovy Vary;Útočník;2025/26
Tory;Dello;Utica Comets;Karlovy Vary;Obránce;2025/26
Adam;Lukošík;Slovan Bratislava;Karlovy Vary;Útočník;2025/26
Nick;Jones;Pardubice;Karlovy Vary;Útočník;2025/26
David ;Šťastný;Hradec Králové;Karlovy Vary;Útočník;2025/26
Jakub;Minárik;Slovan Bratislava;Karlovy Vary;Útočník;2025/26
Haralds;Egle;Liptovský Mikuláš;Karlovy Vary;Útočník;2025/26
Josef;Myšák;Merrimack College;Karlovy Vary;Obránce;2025/26
Matteo;Kočí;Kamploop Blazers;Karlovy Vary;Obránce;2025/26
Sebastián;Malát;České Budějovice;Karlovy Vary;Útočník;2025/26
Daniel;Král;Liberec;Karlovy Vary;Brankář;2025/26
Vojtěch;Čihař;Karlovy Vary;Kelowna Rockets;Útočník;2025/26
Jan;Šír;Karlovy Vary;Vítkovice;Útočník;2025/26
Tarmo;Reunanen;Karlovy Vary;TPS;Obránce;2025/26
Eirik;Salsten;Karlovy Vary;Iserlohn Roosters;Útočník;2025/26
Ondřej;Dlapa;Karlovy Vary;Hradec Králové;Obránce;2025/26
David ;Kofroň;Karlovy Vary;Frýdek-Místek;Útočník;2025/26
Michal;Plutnar;Karlovy Vary;Litvínov;Obránce;2025/26
Petr;Hamalčík;Karlovy Vary;Liberec;Brankář;2025/26
Ondřej;Procházka;Karlovy Vary;Liberec;Útočník;2025/26
David ;Varvařovský;Karlovy Vary;Sokolov;Útočník;2025/26
Samuel;Šmajda;Karlovy Vary;Sokolov;Útočník;2025/26
Dávid;Gríger;Karlovy Vary;Mlada Boleslav;Útočník;2025/26
Jan;Kern;Karlovy Vary;Litoměřice;Útočník;2025/26
;;;;;2025/26
Jasper;Weatherby;Pardubice;Liberec;Útočník;2025/26
Adrien;Bartovič;Malmo Redhawks U20;Liberec;Útočník;2025/26
Radan;Lenc;HV71;Liberec;Útočník;2025/26
Adam;Najman;Ilves;Liberec;Útočník;2025/26
Petr;Hamalčík;Karlovy Vary;Liberec;Brankář;2025/26
Ondřej;Procházka;Karlovy Vary;Liberec;Útočník;2025/26
Denis;Zeman;Litvínov;Liberec;Obránce;2025/26
Kristaps;Zile;Litvínov;Liberec;Obránce;2025/26
Filip;Sandberg;Litvínov;Liberec;Útočník;2025/26
Jaromír;Pytlík;Kladno;Liberec;Útočník;2025/26
Oscar;Flynn;Liberec;Třinec;Útočník;2025/26
Jakub;Ehrenberger;Liberec;Technika Brno;Obránce;2025/26
Michael;Krutil;Liberec;Chomutov;Obránce;2025/26
Rayen;Petrovický;Liberec;Olomouc;Obránce;2025/26
Kelly;Klíma;Liberec;Kladno;Útočník;2025/26
